URL,TITLE,METADESCRIPTION,KEYWORDS,SOCIALTAGS,COURSENAME,PROVIDER,PRICE,DURATION,CERTIFICATE,INSTRUCTOR,DESCRIPTION,LEVEL,ISVALID?
http://open.umich.edu/,University of Michigan | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
http://open.umich.edu/education,Find U-M Open Educational Resources | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
http://open.umich.edu/education/lsa,Literature; Science and the Arts | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
http://open.umich.edu/education/tcaup,Architecture + Urban Planning | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
http://open.umich.edu/education/business,Business | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
http://open.umich.edu/education/dent,Dentistry | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
http://open.umich.edu/education/soe,Education | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
http://open.umich.edu/education/si,Information | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
http://open.umich.edu/education/law,Law | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
http://open.umich.edu/education/engin,Engineering | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
