URL,TITLE,METADESCRIPTION,KEYWORDS,SOCIALTAGS,COURSENAME,PROVIDER,PRICE,DURATION,CERTIFICATE,INSTRUCTOR,DESCRIPTION,LEVEL,ISVALID?
http://open.umich.edu/,University of Michigan | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education,Find U-M Open Educational Resources | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,Find stuff and use it. Freely. Welcome to our collection of educational resources and learning experiences from the University of Michigan. Access a range of course materials; videos; software tools; student work and more. Download and remix our openly licensed educational resources (OER). List of all Schools; Colleges; & Units  >>,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education/lsa,Literature; Science and the Arts | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,"The College of Literature; Science; and the Arts (LSA) is the heart of the University of Michigan; an extraordinary center of creativity; inquiry; and discovery. Combining the best of a research institution and a liberal arts college; students and faculty in more than 70 departments and programs explore the world""'""s biggest questions together.",open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education/tcaup,Architecture + Urban Planning | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,The Taubman College of Architecture + Urban Planning at the University of Michigan prepares students to participate actively in the design of buildings and the physical environment.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education/business,Business | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,The Ross School of Business is committed to action-based learning; an approach to instruction that exposes both students and faculty to real-world challenges faced by actual businesses and organizations.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education/dent,Dentistry | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,"The University of Michigan School of Dentistry is one of the nation""'""s leading dental schools engaged in oral health care education; research; patient care; and community service.",open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education/soe,Education | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,The University of Michigan School of Education is a challenging and stimulating place committed to creating and using knowledge to prepare talented educators who are making a difference in the world.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education/si,Information | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,The School of Information (SI) is a graduate-level program; strong in teaching and research; that encourages students to challenge the status quo of the information professions. Its faculty and students work to develop an integrated understanding of human needs as they relate to information systems and social structures.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education/law,Law | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,The University of Michigan Law School in Ann Arbor is one of the world’s finest institutions of legal education. Housed in the Cook Quadrangle on the University of Michigan’s central campus; the Law School is unmatched for beauty and is superbly functional for its residential and scholarly community.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
http://open.umich.edu/education/engin,Engineering | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,"The College of Engineering has 11 departments where engineers""'"" research spans from quantum dots to interplanetary spacecraft; from picowatt microchip to petawatt lasers. Faculty members are working on solutions to the most pressing issues of the day including alternative energy; health and homeland security.",open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
