URL,TITLE,METADESCRIPTION,KEYWORDS,SOCIALTAGS,COURSENAME,PROVIDER,PRICE,DURATION,CERTIFICATE,INSTRUCTOR,DESCRIPTION,LEVEL,ISVALID?
http://ocw.mit.edu/courses/find-by-department/,Find Courses by Department | MIT OpenCourseWare | Free Online Course Materials,education;learning;free;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://ocw.mit.edu/courses/find-by-topic/,Find Courses by Topic | MIT OpenCourseWare | Free Online Course Materials,education;learning;free;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://ocw.mit.edu/courses/find-by-number/,Find Courses by Number | MIT OpenCourseWare | Free Online Course Materials,education;learning;free;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://ocw.mit.edu/courses/womens-and-gender-studies/,Women s and Gender Studies | MIT OpenCourseWare | Free Online Course Materials,MIT Women s and Gender Studies courses available online and for free.,N/A,education;learning;free;,N/A,N/A,N/A,N/A,N/A,N/A,MIT Women s and Gender Studies courses available online and for free.,N/A,?
http://ocw.mit.edu/courses/audio-video-courses/,Audio/Video Lectures | MIT OpenCourseWare | Free Online Course Materials,Free video and audio lectures from MIT faculty.,N/A,education;learning;free;,N/A,N/A,N/A,N/A,N/A,N/A,Free video and audio lectures from MIT faculty.,N/A,?
http://ocw.mit.edu/courses/biology/,Biology | MIT OpenCourseWare | Free Online Course Materials,MIT Biology courses available online and for free.,N/A,education;learning;free;,N/A,N/A,N/A,N/A,N/A,N/A,MIT Biology courses available online and for free.,N/A,?
http://ocw.mit.edu/courses/womens-and-gender-studies/index.htm,Women s and Gender Studies | MIT OpenCourseWare | Free Online Course Materials,MIT Women s and Gender Studies courses available online and for free.,N/A,education;learning;free;,N/A,N/A,N/A,N/A,N/A,N/A,MIT Women s and Gender Studies courses available online and for free.,N/A,?
http://ocw.mit.edu/courses/biology/index.htm,Biology | MIT OpenCourseWare | Free Online Course Materials,MIT Biology courses available online and for free.,N/A,education;learning;free;,N/A,N/A,N/A,N/A,N/A,N/A,MIT Biology courses available online and for free.,N/A,?
http://ocw.mit.edu/courses/new-courses/,New Courses | MIT OpenCourseWare | Free Online Course Materials,Free MIT courses published during the last six months.,N/A,education;learning;free;,N/A,N/A,N/A,N/A,N/A,N/A,Free MIT courses published during the last six months.,N/A,?
http://ocw.mit.edu/courses/simulations-applets-and-visualizations/,Simulations; Applets and Visualizations | MIT OpenCourseWare | Free Online Course Materials,Free MIT courses featuring simulations; applets and other visualizations to enhance your understanding of the course materials.,N/A,education;learning;free;,N/A,N/A,N/A,N/A,N/A,N/A,Free MIT courses featuring simulations; applets and other visualizations to enhance your understanding of the course materials.,N/A,?
http://ocw.mit.edu/courses/biology/7-344-tumor-suppressor-gene-p53-how-the-guardian-of-our-genome-prevents-cancer-fall-2010/,Tumor Suppressor Gene p53: How the Guardian of our Genome Prevents Cancer | Biology | MIT OpenCourseWare,Cancer is a leading cause of death worldwide. Cancer involves uncontrolled cell growth; resistance to cell death; failure to differentiate into a particular cell type; and increased cellular motility. A family of gate-keeper genes; known as tumor suppressor genes; plays important roles in preventing the initiation and progression of cancer. Among these; p53 is the most famous. Because of its essential role in maintaining genomic integrity; p53 is often called the guardian of the genome. During this course; we will study how p53 serves as a pivotal tumor suppressor gene in preventing cancer.This course is one of many Advanced Undergraduate Seminars offered by the Biology Department at MIT. These seminars are tailored for students with an interest in using primary research literature to discuss and learn about current biological research in a highly interactive setting. Many instructors of the Advanced Undergraduate Seminars are postdoctoral scientists with a strong interest in teaching.,tumor suppressor gene;p53;p53 protein;cancer;cell-growth signals;p53 protein;cell cycle regulation;DNA damage;DNA repair;programmed cell death;apoptosis;genome integrity;oncogenes;p53 mutations;mouse cancer models;Mdm2;microRNA;Genetics;Functional Genomics;Cancer,education;learning;free;,Tumor Suppressor Gene p53: How the Guardian of our Genome Prevents Cancer ,MIT Open CourseWare,N/A,any time,No,Xue; Wen ,Cancer is a leading cause of death worldwide. Cancer involves uncontrolled cell growth; resistance to cell death; failure to differentiate into a particular cell type; and increased cellular motility. A family of gate-keeper genes; known as tumor suppressor genes; plays important roles in preventing the initiation and progression of cancer. Among these; p53 is the most famous. Because of its essential role in maintaining genomic integrity; p53 is often called the guardian of the genome. During this course; we will study how p53 serves as a pivotal tumor suppressor gene in preventing cancer.This course is one of many Advanced Undergraduate Seminars offered by the Biology Department at MIT. These seminars are tailored for students with an interest in using primary research literature to discuss and learn about current biological research in a highly interactive setting. Many instructors of the Advanced Undergraduate Seminars are postdoctoral scientists with a strong interest in teaching.,Undergraduate,?
http://ocw.mit.edu/courses/brain-and-cognitive-sciences/,Brain and Cognitive Sciences | MIT OpenCourseWare | Free Online Course Materials,MIT Brain and Cognitive Sciences courses available online and for free.,N/A,education;learning;free;,N/A,N/A,N/A,N/A,N/A,N/A,MIT Brain and Cognitive Sciences courses available online and for free.,N/A,?
http://ocw.mit.edu/courses/biology/7-06-cell-biology-spring-2007/,Cell Biology | Biology | MIT OpenCourseWare,This course deals with the biology of cells of higher organisms: The structure; function; and biosynthesis of cellular membranes and organelles; cell growth and oncogenic transformation; transport; receptors; and cell signaling; the cytoskeleton; the extracellular matrix; and cell movements; chromatin structure and RNA synthesis.,Biology;cells;organisms;biosynthesis;cellular membranes;organelles;cell growth;oncogenic transformation;transport;receptors;cell signaling;cytoskeleton;extracellular matrix;matrix;cell movements;chromatin;RNA;RNA synthesis;Cell Biology,education;learning;free;,Cell Biology ,MIT Open CourseWare,N/A,any time,No,Ploegh; Hidde and Orr-Weaver; Terry ,This course deals with the biology of cells of higher organisms: The structure; function; and biosynthesis of cellular membranes and organelles; cell growth and oncogenic transformation; transport; receptors; and cell signaling; the cytoskeleton; the extracellular matrix; and cell movements; chromatin structure and RNA synthesis.,Undergraduate,?
