URL,TITLE,METADESCRIPTION,KEYWORDS,SOCIALTAGS,COURSENAME,PROVIDER,PRICE,DURATION,CERTIFICATE,INSTRUCTOR,DESCRIPTION,LEVEL,ISVALID?http://open.umich.edu/education/,Find U-M Open Educational Resources | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education,Find U-M Open Educational Resources | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/schools-colleges,Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/si/coursera-programming-everybody/winter2014,SI / Coursera - Programming for Everybody | Open.Michigan,This course teaches basic Python programming skills through data analysis. There is no complex math in the course; the programs are generally quite short; and the workload is no more than a few hours per week. By the time you complete the course; you will understand and be able to read; parse; and manipulate data using Python.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;Coursera;informatics;MOOC;programming;python,education;opencourseware;ocw;,SI / Coursera - Programming for Everybody,University of Michigan; Ann Arbor,Free,N/A,No, Charles Severance,This course teaches basic Python programming skills through data analysis. There is no complex math in the course; the programs are generally quite short; and the workload is no more than a few hours per week. By the time you complete the course; you will understand and be able to read; parse; and manipulate data using Python., Undergraduate,?
http://open.umich.edu/education/med/resources/maternal-morbidity-mortality/2013,Building Academic Partnerships to Reduce Maternal Morbidity and Mortality: A Call to Action and Way Forward | Open.Michigan,This book presents the collective wisdom of a group of Obstetrician/Gynecologists (OB/GYNs) from around the world brought together at the 2012 meeting of the International Federation of Gynecology and Obstetrics (FIGO) to contribute their ideas and expertise in an effort to reduce maternal and neonatal morbidity and mortality and obstetric fistula,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;Maternal Morbidity;maternal mortality;OBGYN;obstetric fistula;open textbook;sub Saharan Africa,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/med/resources,Resources | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/med/resources/maternal-morbidity-mortality/2013/materials,Building Academic Partnerships to Reduce Maternal Morbidity and Mortality: A Call to Action and Way Forward | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/med/resources/instructional-methods-health-professions-education/summer2013,Coursera - Instructional Methods in Health Professions Education | Open.Michigan,This course provides those involved in educating members of the health professions an asynchronous; interdisciplinary; and interactive way to obtain; expand; and improve their teaching skills. These skills can then be applied within their own professional context; with a variety of learners; extending across many stages.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;Coursera;education;health education;health professionals;Instructional Methods;teaching,education;opencourseware;ocw;,Coursera - Instructional Methods in Health Professions Education,University of Michigan; Ann Arbor,Free,N/A,No, Caren Stalburg,This course provides those involved in educating members of the health professions an asynchronous; interdisciplinary; and interactive way to obtain; expand; and improve their teaching skills. These skills can then be applied within their own professional context; with a variety of learners; extending across many stages., Graduate,?
http://open.umich.edu/education/med/m1,M1 Curriculum | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/lsa,Literature; Science and the Arts | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/med/m2,M2 Curriculum | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
