URL,TITLE,METADESCRIPTION,COURSENAME,PROVIDER,PRICE,DURATION,CERTIFICATE,INSTRUCTOR,DESCRIPTION,LEVEL,ISVALID?
http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-06-principles-of-automatic-control-fall-2012,Principles of Automatic Control | Aeronautics and Astronautics | MIT OpenCourseWare,This course introduces the design of feedback control systems as applied to a variety of air and spacecraft systems. Topics include the properties and advantages of feedback systems; time-domain and frequency-domain performance measures; stability and degree of stability; the Root locus method; Nyquist criterion; frequency-domain design; and state space methods.,Principles of Automatic Control ,MIT Open CourseWare,Free,any time,No,Hall; Steven ,This course introduces the design of feedback control systems as applied to a variety of air and spacecraft systems. Topics include the properties and advantages of feedback systems; time-domain and frequency-domain performance measures; stability and degree of stability; the Root locus method; Nyquist criterion; frequency-domain design; and state space methods.,Undergraduate,?
http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-63j-system-safety-fall-2012,System Safety | Aeronautics and Astronautics | MIT OpenCourseWare,This class introduces the concepts of system safety and how to analyze and design safer systems. Topics include the causes of accidents in general; and recent major accidents in particular; hazard analysis; safety-driven design techniques; design of human-automation interaction; integrating safety into the system engineering process; and managing and operating safety-critical systems.,System Safety ,MIT Open CourseWare,Free,any time,No,Leveson; Nancy and Thomas; John P. ,This class introduces the concepts of system safety and how to analyze and design safer systems. Topics include the causes of accidents in general; and recent major accidents in particular; hazard analysis; safety-driven design techniques; design of human-automation interaction; integrating safety into the system engineering process; and managing and operating safety-critical systems.,Undergraduate,?
http://ocw.mit.edu/courses/anthropology/21a-00-introduction-to-anthropology-spring-2013,Introduction to Anthropology | Anthropology | MIT OpenCourseWare,Through the comparative study of different cultures; anthropology explores fundamental questions about what it means to be human. It seeks to understand how culture both shapes societies; from the smallest island in the South Pacific to the largest Asian metropolis; and affects the way institutions work; from scientific laboratories to Christian mega-churches. This course will provide a framework for analyzing diverse facets of human experience such as gender; ethnicity; language; politics; economics; and art.&nbsp;,Introduction to Anthropology ,MIT Open CourseWare,Free,any time,No,Jones; Graham ,Through the comparative study of different cultures; anthropology explores fundamental questions about what it means to be human. It seeks to understand how culture both shapes societies; from the smallest island in the South Pacific to the largest Asian metropolis; and affects the way institutions work; from scientific laboratories to Christian mega-churches. This course will provide a framework for analyzing diverse facets of human experience such as gender; ethnicity; language; politics; economics; and art.&nbsp;,Undergraduate,?
http://ocw.mit.edu/courses/science-technology-and-society/sts-330-history-and-anthropology-of-medicine-and-biology-spring-2013,History and Anthropology of Medicine and Biology | Science; Technology; and Society | MIT OpenCourseWare,This course explores recent historical and anthropological approaches to the study of medicine and biology. Topics might include interaction of disease and society; science; colonialism; and international health; impact of new technologies on medicine and the life sciences; neuroscience and psychiatry; race; biology and medicine. Specific emphasis varies from year to year.,History and Anthropology of Medicine and Biology ,MIT Open CourseWare,Free,any time,No,Helmreich; Stefan and Jones; David ,This course explores recent historical and anthropological approaches to the study of medicine and biology. Topics might include interaction of disease and society; science; colonialism; and international health; impact of new technologies on medicine and the life sciences; neuroscience and psychiatry; race; biology and medicine. Specific emphasis varies from year to year.,Graduate,?
http://ocw.mit.edu/courses/anthropology/21a-550j-dv-lab-documenting-science-through-video-and-new-media-fall-2012,DV Lab: Documenting Science Through Video and New Media | Anthropology | MIT OpenCourseWare,This course is an introductory exploration of documentary film theory and production; focusing on documentaries about science; engineering; and related fields. Students engage in digital video production as well as social and media analysis of science documentaries. Readings are drawn from social studies of science as well as from documentary film theory. The courses uses documentary video making as a tool to explore the worlds of science and engineering; as well as a tool for thinking analytically about media itself and the social worlds in which science is embedded. The course includes a hands-on lab component devoted to digital video production; in addition to classroom lectures and in-class film screenings.,DV Lab: Documenting Science Through Video and New Media ,MIT Open CourseWare,Free,any time,No,Walley; Christine and Boebel; Chris ,This course is an introductory exploration of documentary film theory and production; focusing on documentaries about science; engineering; and related fields. Students engage in digital video production as well as social and media analysis of science documentaries. Readings are drawn from social studies of science as well as from documentary film theory. The courses uses documentary video making as a tool to explore the worlds of science and engineering; as well as a tool for thinking analytically about media itself and the social worlds in which science is embedded. The course includes a hands-on lab component devoted to digital video production; in addition to classroom lectures and in-class film screenings.,Undergraduate,?
http://ocw.mit.edu/courses/architecture/4-110j-design-across-scales-disciplines-and-problem-contexts-spring-2013,Design Across Scales; Disciplines and Problem Contexts | Architecture | MIT OpenCourseWare,This course explores the reciprocal relationships among design; science; and technology by covering a wide range of topics including industrial design; architecture; visualization and perception; design computation; material ecology; and environmental design and sustainability. Students will examine how transformations in science and technology have influenced design thinking and vice versa; as well as develop methodologies for design research and collaborate on design solutions to interdisciplinary problems.,Design Across Scales; Disciplines and Problem Contexts ,MIT Open CourseWare,Free,any time,No,Yoon; Meejin and Oxman; Neri ,This course explores the reciprocal relationships among design; science; and technology by covering a wide range of topics including industrial design; architecture; visualization and perception; design computation; material ecology; and environmental design and sustainability. Students will examine how transformations in science and technology have influenced design thinking and vice versa; as well as develop methodologies for design research and collaborate on design solutions to interdisciplinary problems.,Undergraduate / Graduate,?
http://ocw.mit.edu/courses/urban-studies-and-planning/11-308j-advanced-seminar-urban-nature-and-city-design-fall-2012,Advanced Seminar: Urban Nature and City Design | Urban Studies and Planning | MIT OpenCourseWare,This course will explore the mutual influences of ideas of nature; theories of city design and planning; and practices of urban design; construction; and management. We will investigate how natural processes shape urban landscapes (from the scale of street corner to region) and how to intervene strategically in those processes in order to achieve certain goals. We will examine cases of cities that adapted successfully to natural processes and those that did not. Students will then have the opportunity to research a case of their choice and to present their findings for discussion. The subject may be historical or an an example of contemporary theory and practice. Additional information is also available at Professor Spirn s class website.,Advanced Seminar: Urban Nature and City Design ,MIT Open CourseWare,Free,any time,No,Spirn; Anne Whiston ,This course will explore the mutual influences of ideas of nature; theories of city design and planning; and practices of urban design; construction; and management. We will investigate how natural processes shape urban landscapes (from the scale of street corner to region) and how to intervene strategically in those processes in order to achieve certain goals. We will examine cases of cities that adapted successfully to natural processes and those that did not. Students will then have the opportunity to research a case of their choice and to present their findings for discussion. The subject may be historical or an an example of contemporary theory and practice. Additional information is also available at Professor Spirn s class website.,Graduate,?
http://ocw.mit.edu/courses/urban-studies-and-planning/11-309j-sensing-place-photography-as-inquiry-fall-2012,Sensing Place: Photography as Inquiry | Urban Studies and Planning | MIT OpenCourseWare,This course explores photography as a disciplined way of seeing or investigating urban landscapes; and expressing ideas. Readings; observations; and photographs form the basis of discussions on light; detail; place; poetics; narrative; and how photography can inform design and planning.  The current version of the class website for the course can be found here: Sensing Place: Photography as Inquiry.,Sensing Place: Photography as Inquiry ,MIT Open CourseWare,Free,any time,No,Spirn; Anne Whiston ,This course explores photography as a disciplined way of seeing or investigating urban landscapes; and expressing ideas. Readings; observations; and photographs form the basis of discussions on light; detail; place; poetics; narrative; and how photography can inform design and planning.  The current version of the class website for the course can be found here: Sensing Place: Photography as Inquiry.,Graduate,?
http://ocw.mit.edu/courses/architecture/4-241j-theory-of-city-form-spring-2013,Theory of City Form | Architecture | MIT OpenCourseWare,This course covers theories about the form that settlements should take and attempts a distinction between descriptive and normative theory by examining examples of various theories of city form over time. Case studies will highlight the origins of the modern city and theories about its emerging form; including the transformation of the nineteenth-century city and its organization. Through examples and historical context; current issues of city form in relation to city-making; social structure; and physical design will also be discussed and analyzed.,Theory of City Form ,MIT Open CourseWare,Free,any time,No,Beinart; Julian ,This course covers theories about the form that settlements should take and attempts a distinction between descriptive and normative theory by examining examples of various theories of city form over time. Case studies will highlight the origins of the modern city and theories about its emerging form; including the transformation of the nineteenth-century city and its organization. Through examples and historical context; current issues of city form in relation to city-making; social structure; and physical design will also be discussed and analyzed.,Graduate,?
http://ocw.mit.edu/courses/biology/7-342-cell-material-crosstalk-engineering-cell-instructive-biomaterials-fall-2013,Cell-material Crosstalk: Engineering Cell-Instructive Biomaterials | Biology | MIT OpenCourseWare,Biomaterials are substances that have been designed to direct the course of any therapeutic or diagnostic procedure by controlling interactions with biological systems. A large toolbox of non-biological materials has been engineered to study cell behavior at the cell-material interface. In this course; we will examine how this interface can be leveraged to study cellular systems and generate novel therapeutics. This course is one of many Advanced Undergraduate Seminars offered by the Biology Department at MIT. These seminars are tailored for students with an interest in using primary research literature to discuss and learn about current biological research in a highly interactive setting. Many instructors of the Advanced Undergraduate Seminars are postdoctoral scientists with a strong interest in teaching.,Cell-material Crosstalk: Engineering Cell-Instructive Biomaterials ,MIT Open CourseWare,Free,any time,No,Lavin; Danya and Webber; Matthew ,Biomaterials are substances that have been designed to direct the course of any therapeutic or diagnostic procedure by controlling interactions with biological systems. A large toolbox of non-biological materials has been engineered to study cell behavior at the cell-material interface. In this course; we will examine how this interface can be leveraged to study cellular systems and generate novel therapeutics. This course is one of many Advanced Undergraduate Seminars offered by the Biology Department at MIT. These seminars are tailored for students with an interest in using primary research literature to discuss and learn about current biological research in a highly interactive setting. Many instructors of the Advanced Undergraduate Seminars are postdoctoral scientists with a strong interest in teaching.,Undergraduate,?
http://ocw.mit.edu/courses/biology/7-346-dna-wars-how-the-cell-strikes-back-to-avoid-disease-after-attacks-on-dna-fall-2013,DNA Wars: How the Cell Strikes Back to Avoid Disease after Attacks on DNA | Biology | MIT OpenCourseWare,A never-ending molecular war takes place in the nucleus of your cells; with DNA damage occurring at a rate of over 20;000 lesions per cell per day. Where does this damage come from; and what are its consequences? What are the differences in the molecular blueprint between individuals who can sustain attacks on DNA and remain healthy compared to those who become sick?  This course is one of many Advanced Undergraduate Seminars offered by the Biology Department at MIT. These seminars are tailored for students with an interest in using primary research literature to discuss and learn about current biological research in a highly interactive setting. Many instructors of the Advanced Undergraduate Seminars are postdoctoral scientists with a strong interest in teaching.,DNA Wars: How the Cell Strikes Back to Avoid Disease after Attacks on DNA ,MIT Open CourseWare,Free,any time,No,Jordan; Jennifer and Nagel; Zachary ,A never-ending molecular war takes place in the nucleus of your cells; with DNA damage occurring at a rate of over 20;000 lesions per cell per day. Where does this damage come from; and what are its consequences? What are the differences in the molecular blueprint between individuals who can sustain attacks on DNA and remain healthy compared to those who become sick?  This course is one of many Advanced Undergraduate Seminars offered by the Biology Department at MIT. These seminars are tailored for students with an interest in using primary research literature to discuss and learn about current biological research in a highly interactive setting. Many instructors of the Advanced Undergraduate Seminars are postdoctoral scientists with a strong interest in teaching.,Undergraduate,?
http://ocw.mit.edu/courses/brain-and-cognitive-sciences/9-17-systems-neuroscience-lab-spring-2013,Systems Neuroscience Lab | Brain and Cognitive Sciences | MIT OpenCourseWare,Systems Neuroscience Laboratory consists of a series of laboratories designed to give students experience with basic techniques for conducting systems neuroscience research. It includes sessions on anatomical; neurophysiological; and data acquisition and analysis techniques; and the ways these techniques are used to study nervous system function. Training is provided in the art of scientific writing with feedback designed to improve writing skills. Assignments include weekly preparation for lab sessions; two major research reports and a series of basic computer programming tutorials (MATLAB&reg;). The class involves the use of experimental animals. Enrollment is limited.,Systems Neuroscience Lab ,MIT Open CourseWare,Free,any time,No,DiCarlo; James and Tye; Kay ,Systems Neuroscience Laboratory consists of a series of laboratories designed to give students experience with basic techniques for conducting systems neuroscience research. It includes sessions on anatomical; neurophysiological; and data acquisition and analysis techniques; and the ways these techniques are used to study nervous system function. Training is provided in the art of scientific writing with feedback designed to improve writing skills. Assignments include weekly preparation for lab sessions; two major research reports and a series of basic computer programming tutorials (MATLAB&reg;). The class involves the use of experimental animals. Enrollment is limited.,Undergraduate,?
http://ocw.mit.edu/courses/brain-and-cognitive-sciences/9-85-infant-and-early-childhood-cognition-fall-2012,Infant and Early Childhood Cognition | Brain and Cognitive Sciences | MIT OpenCourseWare,This course is an introduction to cognitive development focusing on children s understanding of objects; agents; and causality. It develops a critical understanding of experimental design. The course discusses how developmental research might address philosophical questions about the origins of knowledge; appearance and reality; and the problem of other minds. It provides instruction and practice in written communication as needed for cognitive science research (including critical reviews of journal papers; a literature review and an original research proposal); as well as instruction and practice in oral communication in the form of a poster presentation of a journal paper.,Infant and Early Childhood Cognition ,MIT Open CourseWare,Free,any time,No,Schulz; Laura ,This course is an introduction to cognitive development focusing on children s understanding of objects; agents; and causality. It develops a critical understanding of experimental design. The course discusses how developmental research might address philosophical questions about the origins of knowledge; appearance and reality; and the problem of other minds. It provides instruction and practice in written communication as needed for cognitive science research (including critical reviews of journal papers; a literature review and an original research proposal); as well as instruction and practice in oral communication in the form of a poster presentation of a journal paper.,Undergraduate,?
http://ocw.mit.edu/courses/materials-science-and-engineering/3-021j-introduction-to-modeling-and-simulation-spring-2012,Introduction to Modeling and Simulation | Materials Science and Engineering | MIT OpenCourseWare,This subject provides an introduction to modeling and simulation; covering continuum methods; atomistic and molecular simulation; and quantum mechanics. Hands-on training is provided in the fundamentals and applications of these methods to key engineering problems. The lectures provide exposure to areas of application based on the scientific exploitation of the power of computation. We use web based applets for simulations; thus extensive programming skills are not required.,Introduction to Modeling and Simulation ,MIT Open CourseWare,Free,any time,No,Buehler; Markus and Grossman; Jeffrey ,This subject provides an introduction to modeling and simulation; covering continuum methods; atomistic and molecular simulation; and quantum mechanics. Hands-on training is provided in the fundamentals and applications of these methods to key engineering problems. The lectures provide exposure to areas of application based on the scientific exploitation of the power of computation. We use web based applets for simulations; thus extensive programming skills are not required.,Undergraduate,?
http://ocw.mit.edu/courses/materials-science-and-engineering/3-021j-introduction-to-modeling-and-simulation-spring-2012,Introduction to Modeling and Simulation | Materials Science and Engineering | MIT OpenCourseWare,This subject provides an introduction to modeling and simulation; covering continuum methods; atomistic and molecular simulation; and quantum mechanics. Hands-on training is provided in the fundamentals and applications of these methods to key engineering problems. The lectures provide exposure to areas of application based on the scientific exploitation of the power of computation. We use web based applets for simulations; thus extensive programming skills are not required.,Introduction to Modeling and Simulation ,MIT Open CourseWare,Free,any time,No,Buehler; Markus and Grossman; Jeffrey ,This subject provides an introduction to modeling and simulation; covering continuum methods; atomistic and molecular simulation; and quantum mechanics. Hands-on training is provided in the fundamentals and applications of these methods to key engineering problems. The lectures provide exposure to areas of application based on the scientific exploitation of the power of computation. We use web based applets for simulations; thus extensive programming skills are not required.,Undergraduate,?
http://ocw.mit.edu/courses/civil-and-environmental-engineering/1-264j-database-internet-and-systems-integration-technologies-fall-2013,Database; Internet; and Systems Integration Technologies | Civil and Environmental Engineering | MIT OpenCourseWare,This course addresses information technology fundamentals; including project management and software processes; data modeling; UML; relational databases and SQL. Topics covered include internet technologies; such as XML; web services; and service-oriented architectures. This course provides an introduction to security and presents the fundamentals of telecommunications and includes a project that involves requirements / design; data model; database implementation; website; security and data network. No prior programming experience required.,Database; Internet; and Systems Integration Technologies ,MIT Open CourseWare,Free,any time,No,Kocur; George ,This course addresses information technology fundamentals; including project management and software processes; data modeling; UML; relational databases and SQL. Topics covered include internet technologies; such as XML; web services; and service-oriented architectures. This course provides an introduction to security and presents the fundamentals of telecommunications and includes a project that involves requirements / design; data model; database implementation; website; security and data network. No prior programming experience required.,Graduate,?
http://ocw.mit.edu/courses/comparative-media-studies/cms-405-media-and-methods-seeing-and-expression-spring-2013,Media and Methods: Seeing and Expression | Comparative Media Studies | MIT OpenCourseWare,In this course students create digital visual images and analyze designs from historical and theoretical perspectives with an emphasis on art and design; examining visual experience in broad terms; and from the perspectives of both creators and viewers. The course addresses key topics such as: image making as a cognitive and perceptual practice; the production of visual significance and meaning; and the role of technology in creating and understanding digitally produced images. Students will be given design problems growing out of their reading and present solutions using technologies such as the Adobe Creative Suite and/or similar applications.,Media and Methods: Seeing and Expression ,MIT Open CourseWare,Free,any time,No,Harrell; Fox ,In this course students create digital visual images and analyze designs from historical and theoretical perspectives with an emphasis on art and design; examining visual experience in broad terms; and from the perspectives of both creators and viewers. The course addresses key topics such as: image making as a cognitive and perceptual practice; the production of visual significance and meaning; and the role of technology in creating and understanding digitally produced images. Students will be given design problems growing out of their reading and present solutions using technologies such as the Adobe Creative Suite and/or similar applications.,Undergraduate,?
