URL,TITLE,METADESCRIPTION,KEYWORDS,SOCIALTAGS,COURSENAME,PROVIDER,PRICE,DURATION,CERTIFICATE,INSTRUCTOR,DECRIPTION,LEVEL,ISVALID?
https://redhoop.com/pluralsight-pragmatic-behavior-driven-design-with-net-14359-2.html,'Online Course - Pragmatic Behavior-driven Design with .NET','It s an online Technology course offered by PluralSight. Price: Free Trial. Duration: 02:52:53.  Click to learn more and find similar courses.','Pragmatic Behavior-driven Design with .NET; PluralSight; online Technology courses',N/A,'Online Course - Pragmatic Behavior-driven Design with .NET',PluralSight,'Free Trial',2:52:53,Yes,'Rob Conery','Behavior-driven Design (BDD) is a simple way to structure your tests and development practice; but over the years it s been convoluted by jargon and cargo-cult testing frameworks. In this course; Rob Conery creates a membership library for ASP.NET MVC and brings you along in an  over-the-shoulder;  pair-coding style. Along the way concepts will be discussed at length; and at the end you ll appreciate how elegant; simple; and helpful BDD can be.',Intermediate,yes
https://redhoop.com/khan-academy-byzantine-3085-2.html,'Online Course - Byzantine','It s an online Humanities course offered by Khan Academy. Price: Free Click to learn more and find similar courses.','Byzantine; Khan Academy; online Humanities courses',N/A,'Online Course - Byzantine','Khan Academy',Free,N/A,No,N/A,'Today; we know the city of Constantinople as Istanbul (in fact there’s a song about that!). But even before it was Constantinople; it was the ancient city of Byzantium; and it was renamed Constantinople (city of Constantine) by none other than the Emperor Constantine himself (it’s good to be the emperor!). From there a succession of emperors ruled the Byzantine empire as the Roman empire dissolved. For two centuries; the Byzantine empire even included the Italian city of Ravenna; where many churches decorated with astoundingly beautiful mosaics can still be found. In Byzantine art we see a departure from the naturalism of the ancient Greek and Roman world. Figures float in ethereal gold heavenly spaces in mosaics; and we find intricate carvings made from ivory; a luxurious material imported from Africa.','Appropriate for all',yes
https://redhoop.com/paid-labor-online-courses.html,'Paid Labor Online Courses','31 Paid Online Labor Video Courses at RedHoop.com','Online courses; online classes; free online courses; free online classes; online education; education video; educational video; MOOC',N/A,'Paid Labor Online Courses',N/A,N/A,N/A,N/A,N/A,N/A,N/A,no
https://redhoop.com/khan-academy-introduction-to-cultures-and-religions-for-the-study-of-ap-art-history-15009-2.html,'Online Course - Introduction to Cultures and Religions for the study of AP Art History','It s an online Education course offered by Khan Academy. Price: Free Click to learn more and find similar courses.','Introduction to Cultures and Religions for the study of AP Art History; Khan Academy; online Education courses',N/A,'Online Course - Introduction to Cultures and Religions for the study of AP Art History','Khan Academy',Free,N/A,No,N/A,N/A,'Appropriate for all',yes
https://redhoop.com/udemy-apple-video-training-numbers-for-ipad-442-2.html,'Online Course - Apple Video Training: Numbers for iPad','It s an online Technology course offered by Udemy. Price: $19. Duration: 55 mins.  Click to learn more and find similar courses.','Apple Video Training: Numbers for iPad; Udemy; online Technology courses',N/A,'Online Course - Apple Video Training: Numbers for iPad',Udemy,$19 ,'55 mins',Yes,Pearson,'In this Apple-certified guide to Numbers for iPad; master trainer Rich Harrington takes you on a comprehensive tour. Featuring over 40 videos; each dedicated to performing a specific task in Numbers; You will learn how to transform your data into organized; professional-looking documents in this Apple iPad Tutorials: Numbers for iPad course. You ll learn to customize existing templates or create documents from scratch; take control of tables and style charts. It s easy to find exactly the information you want; whether it s help with the basics; such as learning the touchscreen controls; or more advanced tasks like working with formulas and calculations in this Apple iPad Tutorials: Numbers for iPad course.</p>','Appropriate for all',yes
https://redhoop.com/lynda-leadership-insights-from-dan-rockwell-7949-2.html,'Online Course - Leadership Insights from Dan Rockwell','It s an online Business course offered by Lynda. Price: Free Trial. Duration: 45m 35s.  Click to learn more and find similar courses.','Leadership Insights from Dan Rockwell; Lynda; online Business courses',N/A,'Online Course - Leadership Insights from Dan Rockwell',Lynda,'Free Trial','45m 35s',Yes,'Dan Rockwell','Dan Rockwell is a leadership coach; speaker; and author of the popular daily leadership blog Leadership Freak. After reaching a personal and professional turning point; he realized he wanted to share his leadership journey; and he s been blogging daily ever since. In this interview; Dan shares how he began his journey; the insights he s gleaned speaking with some of the world s top CEOs and industry leaders; and smart strategies for developing your own leadership presence. Learn how to stop and reevaluate strategies that aren t working; be a leader and an introvert; build relationships; nurture others; and respond to a failure in a way that makes you a better mentor. Topics include: Common traits of great leaders Being an introverted leader Knowing yourself Celebrating success Being tough and nurturing Having difficult conversations Understanding the importance of failure','Appropriate for all',yes
https://redhoop.com/udemy-apple-video-training-pages-for-ipad-452-2.html,'Online Course - Apple Video Training: Pages For iPad','It s an online Technology course offered by Udemy. Price: $19. Duration: 1 hour.  Click to learn more and find similar courses.','Apple Video Training: Pages For iPad; Udemy; online Technology courses',N/A,'Online Course - Apple Video Training: Pages For iPad',Udemy,$19 ,'1 hour',Yes,Pearson,'In this “Pages for iPad: Apple Pages Tutorial “video; expert Rich Harrington takes you on a complete tour of Pages for the iPad. You will learn a full complement of skills from customizing templates by adding your own graphics; charts; and styles to creating documents from scratch in this Apple Pages Tutorial course. With over 40 videos and each one dedicated to a specific task in Pages; it s easy to find exactly the information you want. For help with the basics; like touchscreen controls; to more advanced tasks like inserting graphics with wraparound text. You ll learn everything you need to know to create dynamic personal and professional projects. Take this page for iPad course now and learn from Apple Pages tutorials.</p>','Appropriate for all',yes
https://redhoop.com/coursera-traditional-chinese-medicine-and-chinese-culture-10109-2.html,'Online Course - ?????????? Traditional Chinese Medicine and Chinese Culture','It s an online Math and Science course offered by Coursera. Price: Free. Duration: 14 weeks.  Click to learn more and find similar courses.','?????????? Traditional Chinese Medicine and Chinese Culture; Coursera; online Math and Science courses',N/A,'Online Course - ?????????? Traditional Chinese Medicine and Chinese Culture',Coursera,Free,'14 weeks',Yes,N/A,'      ???????????????????????????????????????????????     Traditional Chinese Medicine (TCM) with Chinese culture is a open course for general education that introduce both TCM theories; thoughts and their original social backgrounds in Chinese culture. It’s also a basic course for those who will study in Chinese culture or TCM. ','Appropriate for all',yes
https://redhoop.com/lynda-divvy-up-for-filemaker-8-1857-2.html,'Online Course - Divvy-Up for FileMaker 8','It s an online Business course offered by Lynda. Price: Free Trial. Duration: 31m 4s.  Click to learn more and find similar courses.','Divvy-Up for FileMaker 8; Lynda; online Business courses',N/A,'Online Course - Divvy-Up for FileMaker 8',Lynda,'Free Trial','31m 4s',Yes,'Vincenzo Menanno','In this training; Vincenzo Menanno introduces Divvy-Up; a sales disbursement and expense tracking tool that allows users to record product development costs and divvy up the proceeds when sales start coming in. Divvy-Up makes this process painless and generates partner reports to include with payments. Vincenzo demonstrates how to use every facet of Divvy-Up; from managing multiple participants with varying levels of input to tracking expenses and labor and paying partners fairly to recording commissions and royalty payments. The training teaches users how to take advantage of Divvy-Up to work better as a team and ensure accurate reporting and accountability in complex situations. Find out more at http://www.fmnexus.com/products/divvyup Topics include: Who would use Divvy-Up Registering Divvy-Up Adding Divvy-Up partners Entering product info Assigning partners to roles Entering expenses; labor; disbursements; and sales Partner reports The Product Summary report',Intermediate,yes
https://redhoop.com/pluralsight-solution-modeling-with-uml-in-visual-studio-2010-7207-2.html,'Online Course - Solution Modeling with UML in Visual Studio 2010','It s an online Technology course offered by PluralSight. Price: Free Trial. Duration: 02:24:32.  Click to learn more and find similar courses.','Solution Modeling with UML in Visual Studio 2010; PluralSight; online Technology courses',N/A,'Online Course - Solution Modeling with UML in Visual Studio 2010',PluralSight,'Free Trial',2:24:32,Yes,'Richard Seroter','This course explains the behavioral and structural UML model types and how to build them within Visual Studio 2010.',Intermediate,yes
https://redhoop.com/lynda-designing-a-book-cover-2002-2.html,'Online Course - Designing a Book Cover','It s an online Design course offered by Lynda. Price: Free Trial. Duration: 2h 46m.  Click to learn more and find similar courses.','Designing a Book Cover; Lynda; online Design courses',N/A,'Online Course - Designing a Book Cover',Lynda,'Free Trial','2h 46m',Yes,'Nigel French','Join author Nigel French in Designing a Book Cover as he walks through several approaches to creating professional; engaging book covers using Adobe Creative Suite applications. This course covers document setup; composition and layout; illustration; typography essentials; and printing. Exercise files accompany the course. Topics include: Researching the design and brainstorming ideas Setting up a document in InDesign or Illustrator Choosing typefaces; colors; shapes; and imagery Hand-drawing type and using different type treatments Creating illustrations from scratch Using and adapting photographs for illustration Preparing the book covers for printing',Intermediate,yes
https://redhoop.com/invest-online-courses.html,'Invest Online Courses','390 Online Invest Video Courses at RedHoop.com','Online courses; online classes; free online courses; free online classes; online education; education video; educational video; MOOC',N/A,'Invest Online Courses',N/A,N/A,N/A,N/A,N/A,N/A,N/A,no
https://redhoop.com/udemy-appbaker-tedx-event-app-starter-pack-course-9222-2.html,'Online Course - AppBaker TEDx Event App Starter Pack course','It s an online Technology course offered by Udemy. Price: Free. Duration: 45 mins.  Click to learn more and find similar courses.','AppBaker TEDx Event App Starter Pack course; Udemy; online Technology courses',N/A,'Online Course - AppBaker TEDx Event App Starter Pack course',Udemy,Free,'45 mins',Yes,'Yeshua Adonai','TEDx Organizers; this course was created to guide you through the process to quickly get your AppBaker TEDx Event App to the App Store. We have everything you will need for your AppBaker Partnership; how to build your app; how to get your attendees socially connected and get your app to the App Store.','Appropriate for all',yes
https://redhoop.com/free-microsoft-excel-online-courses.html,'Free Microsoft Excel Online Courses','10 Free Online Microsoft Excel Video Courses at RedHoop.com','Online courses; online classes; free online courses; free online classes; online education; education video; educational video; MOOC',N/A,'Free Microsoft Excel Online Courses',N/A,N/A,N/A,N/A,N/A,N/A,N/A,no
